,day,cost_phones,cost_cases,cost_accessories,group
417,2,45700,2800,0,control
418,2,62400,0,0,control
419,2,36900,0,0,control
420,2,35300,0,0,control
421,2,10000,0,0,control
422,2,9300,0,0,control
423,2,51800,0,0,control
424,2,57800,1300,0,control
425,2,54300,2900,1400,control
426,2,20000,1400,4200,control
427,2,21900,0,4900,control
428,2,50200,0,0,control
429,2,57500,0,0,control
430,2,27000,0,2100,control
431,2,9200,0,0,control
432,2,33300,0,2600,control
433,2,49700,0,0,control
434,2,25000,2800,0,control
435,2,64600,0,0,control
436,2,12400,2100,3600,control
437,2,43700,0,0,control
438,2,55100,1900,3100,control
439,2,13100,0,0,control
440,2,66400,0,1500,control
441,2,34600,0,0,control
442,2,10100,0,0,control
443,2,11200,2400,0,control
444,2,35600,0,0,control
445,2,26000,0,0,control
446,2,22000,0,0,control
447,2,64700,0,0,control
448,2,45000,0,0,control
449,2,41400,0,4300,control
450,2,29500,1500,2800,control
451,2,26800,0,0,control
452,2,27200,0,0,control
453,2,19900,0,2200,control
454,2,28100,0,4300,control
455,2,50000,2500,0,control
456,2,20000,0,0,control
457,2,7200,0,0,control
458,2,32200,1400,0,control
459,2,34900,2700,0,control
460,2,27700,0,0,control
461,2,6700,2900,0,control
462,2,37700,1000,0,control
463,2,31000,0,1700,control
464,2,38500,1700,0,control
465,2,29400,0,3800,control
466,2,49000,1700,0,control
467,2,44800,1000,1400,control
468,2,15700,1900,0,control
469,2,10500,0,0,control
470,2,36600,2200,3500,control
471,3,26100,0,0,control
472,3,20100,1900,0,control
473,3,17600,0,3100,control
474,3,27000,0,0,control
475,3,48200,1700,2400,control
476,3,37400,0,0,control
477,3,62800,0,0,control
478,3,47000,2600,0,control
479,3,56200,0,0,control
480,3,54100,1300,0,control
481,3,54200,0,3500,control
482,3,58400,1600,4500,control
483,3,34900,0,0,control
484,3,42800,0,0,control
485,3,37200,2300,0,control
486,3,66800,0,0,control
487,3,23200,0,0,control
488,3,17000,2200,0,control
489,3,15600,2400,2500,control
490,3,8800,1600,0,control
491,3,39800,2700,0,control
492,3,38800,3100,0,control
493,3,11000,0,0,control
494,3,58200,0,3200,control
495,3,48400,1800,2500,control
496,3,13000,0,0,control
497,3,33400,1500,3500,control
498,3,22000,0,0,control
499,3,43100,3100,3100,control
500,3,32800,2100,0,control
501,3,29100,0,0,control
502,3,23000,1700,0,control
503,3,16000,2900,0,control
504,3,38000,0,0,control
505,3,8500,0,0,control
506,3,56400,1200,0,control
507,3,16900,2800,0,control
508,3,62600,0,0,control
509,3,9800,0,0,control
510,3,52300,0,0,control
511,3,22300,0,0,control
512,3,9800,0,2800,control
513,3,59900,0,0,control
514,3,45900,0,1900,control
515,3,28400,0,0,control
516,3,42300,0,0,control
517,3,37500,0,0,control
518,3,36800,0,0,control
519,3,25000,2500,1900,control
520,3,20200,0,2900,control
521,3,30700,0,0,control
522,3,62500,0,3500,control
523,3,46800,1500,3800,control
524,3,43300,0,2400,control
525,3,20200,3300,0,control
526,3,36800,0,4500,control
527,3,51000,2300,0,control
528,3,50100,0,0,control
529,3,17200,0,0,control
530,3,35600,0,0,control
531,3,46400,1900,1700,control
532,3,30600,0,0,control
533,3,25300,0,3800,control
534,3,19000,2200,0,control
535,3,55800,2000,3900,control
536,3,76100,0,0,control
537,3,29100,1900,0,control
538,3,38500,1500,3700,control
539,3,67400,0,0,control
540,3,16100,2300,3700,control
541,3,46800,2200,3900,control
542,3,59500,800,0,control
543,3,59400,1300,0,control
544,3,60000,0,0,control
545,3,63900,0,0,control
546,3,78400,0,0,control
547,3,22200,1200,0,control
548,3,37500,1800,0,control
549,3,20200,0,0,control
550,3,5400,0,2300,control
551,3,45000,0,0,control
552,3,24600,0,0,control
553,3,51700,2600,0,control
554,3,12200,0,0,control
555,3,20400,0,0,control
556,3,8200,3100,0,control
557,3,5300,2800,0,control
558,3,17000,0,3400,control
559,3,29300,0,0,control
560,3,43300,2500,0,control
561,3,6500,0,0,control
562,3,49400,800,0,control
563,3,41000,0,0,control
564,3,27900,0,0,control
565,3,27700,0,2600,control
566,3,18300,0,0,control
567,3,39700,0,0,control
568,3,18300,0,2200,control
569,3,25100,0,0,control
570,3,33400,0,2500,control
571,3,35000,0,0,control
572,3,53900,2800,0,control
573,3,34800,0,0,control
574,3,16400,2200,0,control
575,3,53900,1600,0,control
576,3,34500,0,0,control
577,3,28300,0,0,control
578,3,50900,1700,0,control
579,3,35400,0,0,control
580,3,52000,0,2800,control
581,3,40400,0,0,control
582,3,46600,0,0,control
583,3,40500,0,0,control
584,3,19600,0,0,control
585,3,35300,0,0,control
586,3,23900,0,0,control
587,3,49500,0,0,control
588,3,21000,0,0,control
589,3,30400,2800,0,control
590,3,20700,0,0,control
591,3,44300,0,0,control
592,3,48500,0,0,control
593,3,25000,1800,0,control
594,3,32900,0,0,control
595,3,32600,0,0,control
596,3,30400,0,2700,control
597,3,19200,0,0,control
598,3,64100,0,3700,control
599,3,41700,0,0,control
600,3,40000,0,0,control
601,3,79000,0,0,control
602,3,45700,0,1700,control
603,3,29500,0,0,control
604,3,56200,0,0,control
605,3,45500,0,0,control
606,3,39000,0,0,control
607,3,50100,0,0,control
608,3,79000,0,0,control
609,3,42300,2300,5500,control
610,3,37800,0,5200,control
611,3,49200,2400,0,control
612,3,17200,0,0,control
613,3,29500,0,0,control
614,3,47600,2000,0,control
615,3,34000,0,0,control
616,3,16100,0,0,control
617,3,31800,0,0,control
618,3,20300,0,0,control
619,3,37400,3400,0,control
620,3,13700,0,0,control
621,3,72600,0,0,control
622,3,25200,2600,0,control
623,3,44600,2000,0,control
624,3,18200,2600,0,control
625,3,28800,0,2400,control
626,3,52500,0,1700,control
627,3,61300,0,0,control
628,3,40200,0,0,control
629,3,23300,0,0,control
630,3,60300,0,0,control
631,3,29400,0,0,control
632,3,17500,1700,0,control
633,3,35300,2400,0,control
634,3,42600,0,3200,control
635,3,19500,0,3000,control
636,3,12500,0,0,control
637,3,68100,0,2700,control
638,3,38700,0,0,control
639,3,23900,0,0,control
640,3,28500,0,3100,control
641,3,36100,0,0,control
642,3,81200,0,0,control
643,3,29700,0,0,control
644,3,26700,3300,3900,control
645,3,40900,2900,3900,control
646,3,35700,0,0,control
647,3,19300,0,0,control
648,3,55000,1300,0,control
649,3,47500,2400,0,control
650,3,30900,0,0,control
651,3,42600,1500,0,control
652,3,38000,0,0,control
653,3,40300,2400,0,control
654,3,65100,2100,0,control
655,3,31600,1700,2200,control
656,3,45700,1700,0,control
657,3,51900,0,0,control
658,3,43000,0,0,control
659,3,74300,0,0,control
660,3,54600,0,0,control
661,3,9800,1000,0,control
662,3,69700,1900,0,control
663,3,4500,2600,0,control
664,3,51400,0,3700,control
665,3,44300,2300,2200,control
666,3,20100,0,0,control
667,3,32300,1500,0,control
668,3,38300,0,0,control
669,3,13100,0,0,control
670,3,34600,0,0,control
671,3,5300,0,0,control
672,3,25200,2000,0,control
673,3,51000,0,5200,control
674,3,25300,0,0,control
675,3,54600,0,0,control
676,3,29500,2400,0,control
677,3,41100,0,0,control
678,3,20400,0,2200,control
679,3,56100,2500,0,control
680,3,29500,2400,0,control
681,3,32600,0,0,control
682,3,43100,1200,3700,control
683,3,47900,2000,3100,control
684,3,35900,2200,0,control
685,3,37500,0,0,control
686,3,50300,2300,0,control
687,3,35600,0,0,control
688,3,44400,0,2600,control
689,3,19800,0,0,control
690,3,60700,2700,3800,control
691,3,45600,2300,0,control
692,3,13000,0,1700,control
693,3,64800,0,0,control
694,3,19300,1700,0,control
695,3,94800,0,4900,control
696,3,17400,1700,0,control
697,3,28300,1400,4000,control
698,3,44700,0,0,control
699,3,21400,0,0,control
700,3,63800,0,0,control
701,3,29200,1700,0,control
702,3,80000,2200,3300,control
703,3,42600,1300,3400,control
704,3,52100,0,0,control
705,3,35700,1700,0,control
706,3,21200,0,0,control
707,3,63200,0,1800,control
708,3,47300,3000,3500,control
709,3,28900,0,0,control
710,3,67200,1200,0,control
711,3,27100,0,0,control
712,3,29900,0,0,control
713,3,28700,0,0,control
714,3,62100,2500,0,control
715,3,10300,0,0,control
716,3,24500,2300,0,control
717,3,38800,0,0,control
718,3,45500,3800,0,control
719,3,45500,3100,0,control
720,3,8800,1500,0,control
721,3,17400,1300,2300,control
722,4,63800,0,2500,control
723,4,43700,900,0,control
724,4,42600,0,0,control
725,4,67600,0,0,control
726,4,47700,0,0,control
727,4,52600,0,2600,control
728,4,42600,0,0,control
729,4,19800,0,0,control
730,4,76600,2200,0,control
731,4,40900,2600,3400,control
732,4,47200,1700,0,control
733,4,14800,2500,3800,control
734,4,37400,0,2500,control
735,4,27300,0,0,control
736,4,52100,0,0,control
737,4,61500,2000,3100,control
738,4,5100,2000,0,control
739,4,61100,0,0,control
740,4,34600,0,3400,control
741,4,30900,2100,2000,control
742,4,10300,0,0,control
743,4,90100,0,0,control
744,4,19700,500,0,control
745,4,69200,0,0,control
746,4,39900,2500,0,control
747,4,34000,0,0,control
748,4,10300,1400,0,control
749,4,5600,0,0,control
750,4,35600,2400,0,control
751,4,25900,1700,0,control
752,4,35800,1100,0,control
753,4,71400,0,0,control
754,4,52900,0,2900,control
755,4,23000,0,3700,control
756,4,69900,1900,0,control
757,4,29900,0,3300,control
758,4,45000,0,2400,control
759,4,72300,0,0,control
760,4,26300,0,0,control
761,4,41700,1800,3000,control
762,4,14900,2600,0,control
763,4,24500,0,0,control
764,4,32700,0,2700,control
765,4,68900,2100,2900,control
766,4,33000,1600,0,control
767,4,40300,0,0,control
768,4,23500,1900,2500,control
769,4,13600,0,0,control
770,4,52600,0,1800,control
771,4,45000,0,0,control
772,4,30100,1900,4100,control
773,4,35000,0,0,control
774,4,11400,0,0,control
775,4,44100,0,3300,control
776,4,19700,2100,0,control
777,4,49900,700,0,control
778,4,31400,0,1500,control
779,4,5500,0,0,control
780,4,26900,0,0,control
781,4,31300,1300,0,control
782,4,52500,0,0,control
783,4,7900,0,0,control
784,4,61900,0,0,control
785,4,32200,2000,4400,control
786,4,35000,2800,0,control
787,4,48900,2400,0,control
788,4,53800,0,0,control
789,4,22600,0,0,control
790,4,11700,0,0,control
791,4,67300,0,0,control
792,4,24400,0,0,control
793,4,43100,0,0,control
794,4,38600,0,0,control
795,4,40800,2500,0,control
796,4,46400,2500,1000,control
797,4,26800,0,0,control
798,4,43300,0,0,control
799,4,53600,1900,0,control
800,4,12400,2400,0,control
801,4,5900,2100,0,control
802,4,49000,0,0,control
803,4,20200,0,0,control
804,4,51900,1200,0,control
805,4,29500,0,0,control
806,4,42100,2100,0,control
807,4,48100,2500,0,control
808,4,18800,2300,3100,control
809,4,21700,0,0,control
810,4,24900,1900,0,control
811,4,15700,0,0,control
812,4,52100,2100,0,control
813,4,39400,1100,3400,control
814,4,48100,0,0,control
815,4,42700,1800,3400,control
816,4,11800,0,0,control
817,4,47700,0,0,control
818,4,34900,0,3900,control
819,4,27200,0,0,control
820,4,55200,2000,1500,control
821,4,65600,0,0,control
822,4,77700,0,0,control
823,4,10600,2600,1600,control
824,4,45500,0,0,control
825,4,11300,2600,2800,control
826,4,28600,0,3500,control
827,4,39000,1400,0,control
828,4,21200,1500,0,control
829,4,22100,1600,2800,control
830,4,10100,0,0,control
831,4,65900,1100,0,control
832,4,45800,2000,0,control
833,4,46800,2200,3600,control
834,4,44800,0,0,control
835,4,4300,0,3300,control
836,4,51400,2000,0,control
837,4,28400,2300,0,control
838,4,51400,0,0,control
839,4,56200,0,0,control
840,4,32700,0,3500,control
841,4,25700,0,3600,control
842,4,32500,2100,0,control
843,4,25600,0,0,control
844,4,37400,0,0,control
845,4,23900,0,0,control
846,4,23600,1600,0,control
847,4,21700,0,0,control
848,4,12900,0,1700,control
849,4,17000,3000,0,control
850,4,26200,1500,0,control
851,4,51700,0,0,control
852,4,44300,0,3700,control
853,4,16600,0,0,control
854,4,48900,1600,2000,control
855,4,41000,1300,0,control
856,4,25400,0,0,control
857,4,48800,0,0,control
858,4,47900,2000,1800,control
859,4,30600,0,0,control
860,4,35100,0,0,control
861,4,50200,0,0,control
862,4,33400,0,0,control
863,4,53600,0,0,control
864,4,47900,2600,0,control
865,4,20300,1500,0,control
866,4,36000,1200,4300,control
867,4,19200,0,0,control
868,4,23400,0,0,control
869,4,39900,0,0,control
870,4,62800,2800,3200,control
871,4,41000,0,0,control
872,4,37300,1900,0,control
873,4,47000,0,2500,control
874,4,13900,0,0,control
875,4,54100,1600,0,control
876,4,18800,0,0,control
877,4,68200,0,3800,control
878,4,40300,2500,0,control
879,4,72100,0,0,control
880,4,69800,1600,2700,control
881,4,39900,0,0,control
882,4,50500,2000,0,control
883,4,20400,0,0,control
884,4,6500,2200,0,control
885,4,11800,0,0,control
886,4,48100,2400,1300,control
887,4,36400,2800,0,control
888,4,16100,0,0,control
889,4,67700,0,2700,control
890,4,27100,0,0,control
891,4,51400,2100,0,control
892,4,48500,2000,0,control
893,4,32200,0,0,control
894,4,30200,0,0,control
895,4,27200,0,0,control
896,4,47100,0,0,control
897,4,43700,0,0,control
898,4,13100,0,0,control
899,4,26000,0,2100,control
900,4,18800,0,0,control
901,4,23600,0,0,control
902,4,25700,0,0,control
903,4,33900,0,0,control
904,4,37500,0,0,control
905,4,34300,0,0,control
906,4,36700,0,0,control
907,4,19100,2700,0,control
908,4,34500,1800,0,control
909,4,38800,1800,0,control
910,4,76000,0,3200,control
911,4,29300,0,0,control
912,4,53700,0,0,control
913,4,83500,1400,0,control
914,4,66000,0,0,control
915,4,43800,2300,0,control
916,4,45600,0,3600,control
917,4,51200,1800,0,control
918,4,35600,1300,2500,control
919,4,39200,0,0,control
920,4,14100,0,3500,control
921,4,23800,0,0,control
922,4,44500,1300,0,control
923,4,37900,2400,2900,control
924,4,86100,0,0,control
925,4,16800,0,0,control
926,4,61900,0,0,control
927,4,30100,0,0,control
928,4,40600,1800,0,control
929,4,47800,0,0,control
930,4,25100,0,3000,control
931,4,58600,0,4500,control
932,4,60400,1800,3200,control
933,4,27900,0,0,control
934,4,32500,1200,4300,control
935,4,59300,0,0,control
936,4,56900,0,0,control
937,4,22800,0,0,control
938,4,22500,2700,0,control
939,4,5800,1900,0,control
940,4,11400,1800,4500,control
941,4,5800,0,0,control
942,4,52800,0,2700,control
943,4,21700,0,3800,control
944,4,40700,2200,0,control
945,4,32600,2800,0,control
946,4,13900,0,0,control
947,4,74000,0,0,control
948,4,69100,0,2200,control
949,4,17700,2700,3800,control
950,4,17200,3000,4200,control
951,4,55300,1900,0,control
952,4,30100,1000,0,control
953,4,63600,0,0,control
954,4,26200,0,2800,control
955,4,5500,0,4600,control
956,4,49500,0,0,control
957,4,32600,1900,0,control
958,4,47400,0,0,control
959,4,54600,2700,0,control
960,4,30500,0,0,control
961,4,39400,1600,0,control
962,4,35500,0,3900,control
963,4,15900,0,0,control
964,4,25000,2600,0,control
965,4,33300,0,0,control
966,4,56200,2000,0,control
967,5,57000,0,0,control
968,5,18600,0,0,control
969,5,62100,0,0,control
970,5,63900,0,2600,control
971,5,28100,1800,0,control
972,5,62400,2300,3000,control
973,5,30000,1800,0,control
974,5,58700,0,0,control
975,5,44000,2300,0,control
976,5,34800,0,0,control
977,5,16000,2100,0,control
978,5,59500,0,0,control
979,5,53800,2000,0,control
980,5,42600,3300,0,control
981,5,33400,0,0,control
982,5,9700,0,1700,control
983,5,17800,1100,0,control
984,5,32200,0,0,control
985,5,26500,2000,0,control
986,5,37800,0,0,control
987,5,4400,0,0,control
988,5,19800,0,0,control
989,5,37200,2000,0,control
990,5,51700,1900,0,control
991,5,50300,0,0,control
992,5,25000,0,0,control
993,5,32300,1500,0,control
994,5,32300,0,0,control
995,5,49000,0,0,control
996,5,36200,0,2800,control
997,5,43500,2700,0,control
998,5,32800,1600,0,control
999,5,13100,0,0,control
1000,5,29400,1400,0,control
1001,5,33600,1500,0,control
1002,5,42700,0,3800,control
1003,5,34700,2400,0,control
1004,5,60600,2200,0,control
1005,5,68500,1200,0,control
1006,5,15500,2000,0,control
1007,5,22500,0,0,control
1008,5,57500,0,4200,control
1009,5,92700,0,0,control
1010,5,79800,2200,0,control
1011,5,51400,1900,0,control
1012,5,71600,0,0,control
1013,5,10700,0,2100,control
1014,5,34900,2600,0,control
1015,5,35500,2500,0,control
1016,5,14800,0,0,control
1017,5,39800,3600,0,control
1018,5,53800,0,3700,control
1019,5,38800,0,4100,control
1020,5,47900,2900,0,control
1021,5,36900,0,0,control
